day,hour,alive,uninfected,infected,recovered,deaths,quarantined,max_infected,variance_infected,mean_infected,run_no,avg_susceptibility,avg_recovery_time,initial_population,initial_infected,average_death_rate,average_recovery_rate,quarantine_delay,mass_testing_intensity,social_distancing_intensity,lockdown_intensity
38,912,2763,130,1821,812,2237,0,12,1.39026422,1.9827327330000002,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
39,936,2671,58,1745,868,2329,0,12,1.410446937,2.003034901,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
40,960,2562,19,1613,930,2438,0,12,1.422916205,2.012412723,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
41,984,2484,3,1498,983,2516,0,12,1.4288702130000002,2.021445592,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
42,1008,2419,1,1380,1038,2581,0,11,1.406244766,2.020408163,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
43,1032,2365,0,1274,1091,2635,0,11,1.407529245,2.020117351,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
44,1056,2317,0,1153,1164,2683,0,11,1.411369682,2.017979452,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
45,1080,2272,0,1055,1217,2728,0,11,1.41440363,2.018356643,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
46,1104,2220,0,943,1277,2780,0,11,1.420645355,2.020408163,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
47,1128,2183,0,851,1332,2817,0,11,1.417905002,2.019873532,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
48,1152,2148,0,765,1383,2852,0,11,1.4234586980000001,2.019248396,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
49,1176,2116,0,679,1437,2884,0,11,1.4170484780000001,2.019607843,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
50,1200,2088,0,591,1497,2912,0,11,1.42005845,2.020754717,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
51,1224,2074,0,541,1533,2926,0,11,1.423052315,2.023719165,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
52,1248,2046,0,464,1582,2954,0,11,1.418145947,2.019157088,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
